45.515        0.1991
48.092        0.22522
103.053       0.66862
139.981       0.44457
173.473       0.12903
203.531       0.10792
231.87        0.08328
256.775       0.08563
282.538       0.07273
305.725       0.05161
328.912       0.04809
351.24        0.0434
370.992       0.04809
394.179       0.05396
415.649       0.05279
432.824       0.05044
449.141       0.0563
453.435       0.0563
472.328       0.05044
492.939       0.07155
512.691       0.0563
529.008       0.08563
547.042       0.06334
565.076       0.08328
584.828       0.06686
602.004       0.10205
619.179       0.06452
636.355       0.10205
668.989       0.11848
686.164       0.09853
703.34        0.08328
720.515       0.09736
736.832       0.10557
767.748       0.10323
796.947       0.061
804.676       0.05396
819.275       0.23343
851.908       0.22991
866.508       0.14663
