200.0        0.05576      -0.004      2.72      2.22045      -0.42545
200.528      0.056      -0.0039      2.72005      2.17173      -0.41347
211.609      0.05991      -0.004      2.7207      1.29763      -0.19571
212.137      0.06      -0.00419      2.7207      1.26273      -0.1869
220.053      0.06022      -0.00747      2.72      0.80589      -0.07103
226.385      0.06      -0.008      2.71845      0.5239      0.00078
239.578      0.06004      -0.00252      2.716      -0.052      0.09705
246.438      0.06002      -4.44089e-16      2.71722      -0.04741      0.12243
247.493      0.06      0.00022      2.71749      -0.04592      0.12504
263.852      0.05968   0.0     2.72      -0.01361      0.13047
268.602      0.05995      -4.44089e-16      2.71993      -0.00259      0.12284
269.129      0.06      4e-05.  2.71991      -0.00134      0.12183
280.211      0.06163      0.00188      2.71899      0.02542      0.096
281.266      0.06183      0.0021      2.71887      0.028      0.09334
292.876      0.064      0.00398      2.7174      0.05609      0.06722
293.404      0.06409      0.004      2.71733      0.05734      0.0663
303.958      0.06499      0.00173      2.716      0.08128      0.05674
309.235      0.064      -4.44089e-16      2.71559      0.09199      0.06028
319.261      0.056      -0.00039      2.71587      0.10692      0.08773
322.955      0.05263      -0.00014      2.71599      0.108      0.10592
324.011      0.05274      -8e-05 2.716      0.10716      0.112
325.594      0.05474      -4.44089e-16      2.71599      0.10429      0.12188
326.121      0.056        0.0     2.71598      0.10279      0.12537
332.454      0.096         2e-05 2.7158      0.09715      0.17408
334.565      0.12191      2e-05  2.71574      0.116      0.19283
337.731      0.168       -6e-05   2.71564      0.14841      0.223
341.425      0.21759      -4.44089e-16      2.71557      0.18874      0.26093
344.063      0.252      0.00013      2.71554      0.21856      0.28959
350.396      0.332      0.00048      2.7156      0.29269      0.36265
357.256      0.40435      0.0003      2.716      0.37678      0.44619
359.367      0.428      -4.44089e-16      2.71622      0.40353      0.4722
364.644      0.49305      -0.00132      2.71696      0.47283      0.536
365.172      0.49967      -0.00149      2.71704      0.48      0.54216
368.865      0.544      -0.00265      2.71769      0.53165      0.58352
375.726      0.61043      -0.004      2.71894      0.63116      0.6514
377.309      0.624      -0.00386      2.71919      0.65341      0.66547
384.169      0.688      -0.00126      2.71995      0.7307      0.72432
386.28      0.71065      -0.00043      2.72001      0.744      0.744
387.335      0.72198      -0.00012      2.72      0.74841      0.7545
387.863      0.72756      -4.44089e-16      2.71999      0.75013      0.75991
392.612      0.772      0.00028      2.71958      0.75592      0.81267
401.055      0.824       -7e-05   2.71812      0.76165      0.91831
402.111      0.83232      -4.44089e-16      2.71792      0.76483      0.93212
406.332      0.87133      0.00084      2.71711      0.788      0.988
409.499      0.9      0.00192      2.71659      0.81807      1.02986
414.776      0.93562      0.004      2.71604      0.88481      1.0945
415.831      0.94213      0.00436      2.716      0.89951      1.10595
417.942      0.956      0.00492      2.716      0.92922      1.12664
425.33      1.01256      0.004      2.71667      1.01737      1.16118
426.385      1.02058      0.0034      2.71683      1.024      1.15845
426.913      1.02451      0.00309      2.71691      1.02619      1.156
428.496      1.036      0.00219      2.71718      1.02785      1.1438
434.828      1.07711      0.008      2.71835      0.97119      1.02468
436.939      1.08941      0.02716      2.71873      0.964      0.97032
437.467      1.09238      0.03557      2.71883      0.96934      0.964
439.05      1.10105      0.06      2.7191      1.00228      1.25769
441.161      1.112      0.07902      2.71944      1.06233      1.26668
445.383      1.13189      0.112      2.72      1.16025      1.26925
447.493      1.14147      0.13447      2.72021      1.192      1.272
451.187      1.16      0.18236      2.72047      1.228      1.28189
452.77      1.16944      0.204      2.72055      1.2389      1.28759
461.741      1.224      0.316      2.72069      1.27583      1.3309
468.074      1.25499      0.37795      2.72056      1.29072      1.372
468.602      1.25744      0.38287      2.72054      1.292      1.37597
471.24      1.26959      0.408      2.72044      1.2996      1.39779
478.1      1.30145      0.47898      2.72013      1.34      1.48003
478.628      1.304      0.48454      2.72011      1.34468      1.488
480.739      1.31447      0.50657      2.72      1.36089      1.51899
481.266      1.31716      0.512      2.71997      1.36413      1.52617
490.765      1.36684      0.608      2.71953      1.39483      1.61528
491.821      1.372      0.61969      2.71949      1.39673      1.62234
497.625      1.39805      0.68      2.71934      1.40495      1.65652
506.069      1.432      0.74886      2.7195      1.41276      1.69743
510.818      1.45009      0.788      2.71993      1.41584      1.71768
511.346      1.45206      0.79256      2.72      1.41614      1.71984
519.261      1.48      0.86324      2.72158      1.41982      1.75053
521.9      1.48868      0.884      2.72223      1.42076      1.76016
533.509      1.52661      0.95806      2.724      1.42363      1.79991
535.092      1.532      0.968      2.72396      1.42389      1.80506
545.646      1.56914      1.044      2.7224      1.425      1.8381
553.562      1.596      1.10138      2.72082      1.42523      1.86166
558.839      1.61159      1.136      2.72      1.42516      1.87689
566.227      1.632      1.17813      2.71948      1.42478      1.89766
571.504      1.64951      1.208      2.71948      1.42435      1.91216
577.309      1.668      1.24554      2.7197      1.42372      1.92781
582.586      1.6798      1.28      2.72      1.42303      1.9418
587.335      1.688      1.30647      2.72017      1.42232      1.95421
592.612      1.69829      1.332      2.7201      1.42145      1.96781
594.723      1.70285      1.34196      2.72      1.42107      1.9732
595.251      1.704      1.34449      2.71997      1.42098      1.97455
